code,name,name_ja,value,year
TTO,Trinidad and Tobago,トリニダード・トバゴ,11.58,2022
TUN,Tunisia,チュニジア,3.09,2022
TUR,Türkiye,トルコ,2.96,2023
TUV,Tuvalu,ツバル,2.61,2022
TZA,Tanzania,タンザニア,2.2,2023
UGA,Uganda,ウガンダ,0.93,2022
UKR,Ukraine,ウクライナ,2.45,2023
URY,Uruguay,ウルグアイ,2.7,2021
USA,United States,アメリカ合衆国,2.05,2023
UZB,Uzbekistan,ウズベキスタン,3.0,2002
VCT,Saint Vincent and the Grenadines,セントビンセント・グレナディーン,2.46,2017
VEN,Venezuela,ベネズエラ,0.59,2015
VNM,Vietnam,ベトナム,2.92,2022
WBG,West Bank and Gaza,パレスチナ(西岸・ガザ),0.24,2021
WSM,Samoa,サモア,2.76,2022
YEM,Yemen,イエメン,1.2,2002
ZAF,South Africa,南アフリカ,5.81,2022
ZMB,Zambia,ザンビア,4.26,2022
ZWE,Zimbabwe,ジンバブエ,3.92,2021
